classifier_name,dataset_name,accuracy
number_8,kyoto11_2,0.74999999986041
number_8,milan_0,0.836174944403262
number_8,milan_1,0.862759643916914
number_8,milan_2,0.776706231454006
number_9,cairo_0,0.790816326530612
number_9,cairo_1,0.787723785318681
number_9,cairo_2,0.718670076726342
number_9,kyoto7_0,0.723756908711807
number_9,kyoto7_1,0.622222224871317
number_9,kyoto7_2,0.761111109786563
number_9,kyoto8_0,0.865136299619031
number_9,kyoto8_1,0.889526544120082
number_9,kyoto8_2,0.866379311029938
number_9,kyoto11_0,0.785254534955189
number_9,kyoto11_1,0.747805734347571
number_9,kyoto11_2,0.771077283791133
number_9,milan_0,0.789473684221572
number_9,milan_1,0.827893175074184
number_9,milan_2,0.840504451038576
